step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
6500,5.6724,5.8401,5.8683,1.54e+15,1.61e+15,53248000
6550,5.7568,5.8372,5.8652,1.55e+15,1.62e+15,53657600
6600,5.7904,5.8350,5.8624,1.56e+15,1.63e+15,54067200
6650,5.7467,5.8148,5.8424,1.58e+15,1.64e+15,54476800
6700,5.6751,5.8286,5.8539,1.59e+15,1.65e+15,54886400
6750,5.8330,5.8287,5.8564,1.60e+15,1.67e+15,55296000
6800,5.6464,5.8157,5.8433,1.61e+15,1.68e+15,55705600
6850,5.6531,5.8256,5.8493,1.62e+15,1.69e+15,56115200
6900,5.9765,5.8136,5.8391,1.64e+15,1.70e+15,56524800
6950,5.7825,5.8285,5.8506,1.65e+15,1.72e+15,56934400
7000,5.7723,5.8432,5.8575,1.66e+15,1.73e+15,57344000
7050,5.7545,5.8296,5.8505,1.67e+15,1.74e+15,57753600
7100,5.6377,5.8475,5.8672,1.68e+15,1.75e+15,58163200
7150,5.7969,5.8606,5.8792,1.70e+15,1.77e+15,58572800
7200,5.7024,5.8172,5.8401,1.71e+15,1.78e+15,58982400
7250,5.8155,5.8213,5.8432,1.72e+15,1.79e+15,59392000
7300,5.7966,5.8265,5.8530,1.73e+15,1.80e+15,59801600
7350,5.7557,5.8056,5.8303,1.74e+15,1.81e+15,60211200
7400,5.7127,5.7803,5.8068,1.75e+15,1.83e+15,60620800
7450,5.6917,5.7922,5.8224,1.77e+15,1.84e+15,61030400
7500,5.7739,5.8491,5.8774,1.78e+15,1.85e+15,61440000
7550,5.6770,5.8081,5.8385,1.79e+15,1.86e+15,61849600
7600,5.7475,5.7875,5.8191,1.80e+15,1.88e+15,62259200
7650,5.7084,5.7910,5.8278,1.81e+15,1.89e+15,62668800
7700,5.4589,5.8077,5.8415,1.83e+15,1.90e+15,63078400
7750,5.8185,5.7974,5.8301,1.84e+15,1.91e+15,63488000
7800,5.7292,5.7774,5.8094,1.85e+15,1.93e+15,63897600
7850,5.6235,5.7658,5.7922,1.86e+15,1.94e+15,64307200
7900,5.8459,5.7545,5.7850,1.87e+15,1.95e+15,64716800
7950,5.7429,5.7430,5.7768,1.89e+15,1.96e+15,65126400
8000,5.7891,5.7783,5.8083,1.90e+15,1.98e+15,65536000
8050,5.6235,5.7529,5.7791,1.91e+15,1.99e+15,65945600
