step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
7550,5.6151,5.7743,5.8079,1.19e+15,1.24e+15,61849600
7600,5.7730,5.7686,5.8024,1.20e+15,1.25e+15,62259200
7650,5.8606,5.7659,5.7989,1.21e+15,1.25e+15,62668800
7700,5.6813,5.7630,5.7995,1.22e+15,1.26e+15,63078400
7750,5.6559,5.7527,5.7868,1.23e+15,1.27e+15,63488000
7800,5.6384,5.7528,5.7848,1.23e+15,1.28e+15,63897600
7850,5.6579,5.7488,5.7852,1.24e+15,1.29e+15,64307200
7900,5.7903,5.7466,5.7819,1.25e+15,1.29e+15,64716800
7950,5.8440,5.7519,5.7865,1.26e+15,1.30e+15,65126400
8000,5.7831,5.7463,5.7812,1.26e+15,1.31e+15,65536000
8050,5.7651,5.7488,5.7828,1.27e+15,1.32e+15,65945600
8100,5.6656,5.7441,5.7790,1.28e+15,1.33e+15,66355200
8150,5.8824,5.7487,5.7841,1.29e+15,1.34e+15,66764800
8200,5.7713,5.7452,5.7799,1.30e+15,1.34e+15,67174400
8250,5.8116,5.7541,5.7903,1.30e+15,1.35e+15,67584000
8300,5.5779,5.7451,5.7796,1.31e+15,1.36e+15,67993600
8350,5.6492,5.7484,5.7837,1.32e+15,1.37e+15,68403200
8400,5.6969,5.7440,5.7811,1.33e+15,1.38e+15,68812800
8450,5.7558,5.7433,5.7774,1.34e+15,1.38e+15,69222400
8500,5.7194,5.7386,5.7729,1.34e+15,1.39e+15,69632000
8550,5.6843,5.7365,5.7720,1.35e+15,1.40e+15,70041600
8600,5.6354,5.7316,5.7672,1.36e+15,1.41e+15,70451200
