step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
6250,7.6938,7.7071,7.7070,9.88e+14,1.09e+15,51200000
6300,7.6033,7.6984,7.6983,9.96e+14,1.09e+15,51609600
6350,7.5829,7.6969,7.6971,1.00e+15,1.10e+15,52019200
6400,7.5840,7.6998,7.6997,1.01e+15,1.11e+15,52428800
6450,7.6398,7.7069,7.7066,1.02e+15,1.12e+15,52838400
6500,7.5871,7.7168,7.7157,1.03e+15,1.13e+15,53248000
6550,7.6028,7.7016,7.7014,1.04e+15,1.14e+15,53657600
6600,7.6931,7.7068,7.7069,1.04e+15,1.15e+15,54067200
6650,7.5475,7.7058,7.7058,1.05e+15,1.15e+15,54476800
6700,7.6002,7.7075,7.7070,1.06e+15,1.16e+15,54886400
6750,7.6510,7.7045,7.7041,1.07e+15,1.17e+15,55296000
6800,7.6604,7.7141,7.7137,1.07e+15,1.18e+15,55705600
6850,7.6281,7.6988,7.6989,1.08e+15,1.19e+15,56115200
6900,7.6689,7.6934,7.6936,1.09e+15,1.20e+15,56524800
6950,7.5915,7.6957,7.6958,1.10e+15,1.21e+15,56934400
7000,7.7390,7.6953,7.6956,1.11e+15,1.22e+15,57344000
7050,7.6703,7.6971,7.6973,1.11e+15,1.22e+15,57753600
7100,7.6581,7.6988,7.6989,1.12e+15,1.23e+15,58163200
7150,7.6656,7.6973,7.6974,1.13e+15,1.24e+15,58572800
7200,7.7983,7.6975,7.6977,1.14e+15,1.25e+15,58982400
7250,7.6467,7.6933,7.6934,1.15e+15,1.26e+15,59392000
7300,7.7193,7.6928,7.6929,1.15e+15,1.27e+15,59801600
7350,7.6580,7.6932,7.6933,1.16e+15,1.28e+15,60211200
7400,7.6483,7.6929,7.6929,1.17e+15,1.29e+15,60620800
7450,7.6274,7.6939,7.6940,1.18e+15,1.29e+15,61030400
7500,7.5927,7.6954,7.6955,1.19e+15,1.30e+15,61440000
7550,7.5612,7.6964,7.6965,1.19e+15,1.31e+15,61849600
7600,7.7403,7.6944,7.6945,1.20e+15,1.32e+15,62259200
7650,7.6733,7.6950,7.6952,1.21e+15,1.33e+15,62668800
7700,7.6527,7.6968,7.6968,1.22e+15,1.34e+15,63078400
7750,7.6217,7.6877,7.6877,1.23e+15,1.35e+15,63488000
7800,7.6370,7.6795,7.6794,1.23e+15,1.35e+15,63897600
7850,7.6374,7.6743,7.6746,1.24e+15,1.36e+15,64307200
7900,7.6871,7.6763,7.6765,1.25e+15,1.37e+15,64716800
7950,7.7444,7.6788,7.6790,1.26e+15,1.38e+15,65126400
8000,7.7044,7.6800,7.6803,1.26e+15,1.39e+15,65536000
8050,7.6449,7.6823,7.6824,1.27e+15,1.40e+15,65945600
8100,7.6084,7.6827,7.6827,1.28e+15,1.41e+15,66355200
8150,7.7994,7.6830,7.6832,1.29e+15,1.42e+15,66764800
8200,7.6072,7.6832,7.6833,1.30e+15,1.42e+15,67174400
8250,7.6587,7.6844,7.6846,1.30e+15,1.43e+15,67584000
8300,7.4796,7.6878,7.6878,1.31e+15,1.44e+15,67993600
8350,7.6305,7.6869,7.6869,1.32e+15,1.45e+15,68403200
8400,7.6578,7.6902,7.6901,1.33e+15,1.46e+15,68812800
8450,7.6774,7.6921,7.6919,1.34e+15,1.47e+15,69222400
8500,7.5887,7.6876,7.6876,1.34e+15,1.48e+15,69632000
8550,7.6181,7.6909,7.6908,1.35e+15,1.48e+15,70041600
8600,7.5492,7.6901,7.6901,1.36e+15,1.49e+15,70451200
